case_id,pers_id,sentence_date,release_date,crime_type,ed_level,original_sentence_date,original_release_date,original_release_date_plus_1,original_release_date_plus_2,original_release_date_plus_3
57,3805,2008-03-17T00:00:00Z,2010-06-29T00:00:00Z,Drug,High school degree,2008-03-17T00:00:00Z,2010-06-29T00:00:00Z,2011-06-29T00:00:00Z,2012-06-29T00:00:00Z,2013-06-29T00:00:00Z
58,3805,2011-07-12T00:00:00Z,2012-03-16T00:00:00Z,Property,High school degree,2008-03-17T00:00:00Z,2010-06-29T00:00:00Z,2011-06-29T00:00:00Z,2012-06-29T00:00:00Z,2013-06-29T00:00:00Z
62,4025,2008-08-11T00:00:00Z,2010-01-28T00:00:00Z,Property,Less than high school,2008-08-11T00:00:00Z,2010-01-28T00:00:00Z,2011-01-28T00:00:00Z,2012-01-28T00:00:00Z,2013-01-28T00:00:00Z
65,4350,2009-01-19T00:00:00Z,2010-07-01T00:00:00Z,Violent,High school degree,2009-01-19T00:00:00Z,2010-07-01T00:00:00Z,2011-07-01T00:00:00Z,2012-07-01T00:00:00Z,2013-07-01T00:00:00Z
66,4350,2012-11-30T00:00:00Z,2014-04-18T00:00:00Z,Drug,High school degree,2009-01-19T00:00:00Z,2010-07-01T00:00:00Z,2011-07-01T00:00:00Z,2012-07-01T00:00:00Z,2013-07-01T00:00:00Z
69,4675,2007-10-19T00:00:00Z,2010-05-09T00:00:00Z,Drug,Associate degree,2007-10-19T00:00:00Z,2010-05-09T00:00:00Z,2011-05-09T00:00:00Z,2012-05-09T00:00:00Z,2013-05-09T00:00:00Z
76,5220,2010-07-17T00:00:00Z,2010-11-18T00:00:00Z,Public,Bachelor's degree or higher',2010-07-17T00:00:00Z,2010-11-18T00:00:00Z,2011-11-18T00:00:00Z,2012-11-18T00:00:00Z,2013-11-18T00:00:00Z
77,5220,2011-05-08T00:00:00Z,2013-01-25T00:00:00Z,Violent,Bachelor's degree or higher',2010-07-17T00:00:00Z,2010-11-18T00:00:00Z,2011-11-18T00:00:00Z,2012-11-18T00:00:00Z,2013-11-18T00:00:00Z
81,5545,2010-03-07T00:00:00Z,2010-08-23T00:00:00Z,Violent,High school degree,2010-03-07T00:00:00Z,2010-08-23T00:00:00Z,2011-08-23T00:00:00Z,2012-08-23T00:00:00Z,2013-08-23T00:00:00Z
87,6090,2010-04-11T00:00:00Z,2010-12-15T00:00:00Z,Property,High school degree,2010-04-11T00:00:00Z,2010-12-15T00:00:00Z,2011-12-15T00:00:00Z,2012-12-15T00:00:00Z,2013-12-15T00:00:00Z
88,6090,2012-11-22T00:00:00Z,2013-08-23T00:00:00Z,Public,High school degree,2010-04-11T00:00:00Z,2010-12-15T00:00:00Z,2011-12-15T00:00:00Z,2012-12-15T00:00:00Z,2013-12-15T00:00:00Z
92,6415,2008-08-06T00:00:00Z,2010-08-16T00:00:00Z,Drug,Less than high school,2008-08-06T00:00:00Z,2010-08-16T00:00:00Z,2011-08-16T00:00:00Z,2012-08-16T00:00:00Z,2013-08-16T00:00:00Z
93,6415,2011-10-27T00:00:00Z,2013-11-02T00:00:00Z,Violent,Less than high school,2008-08-06T00:00:00Z,2010-08-16T00:00:00Z,2011-08-16T00:00:00Z,2012-08-16T00:00:00Z,2013-08-16T00:00:00Z
100,6960,2008-10-28T00:00:00Z,2010-07-14T00:00:00Z,Drug,Bachelor's degree or higher',2008-10-28T00:00:00Z,2010-07-14T00:00:00Z,2011-07-14T00:00:00Z,2012-07-14T00:00:00Z,2013-07-14T00:00:00Z
101,6960,2011-09-19T00:00:00Z,2012-08-19T00:00:00Z,Public,Bachelor's degree or higher',2008-10-28T00:00:00Z,2010-07-14T00:00:00Z,2011-07-14T00:00:00Z,2012-07-14T00:00:00Z,2013-07-14T00:00:00Z
104,7285,2009-11-24T00:00:00Z,2010-09-17T00:00:00Z,Property,High school degree,2009-11-24T00:00:00Z,2010-09-17T00:00:00Z,2011-09-17T00:00:00Z,2012-09-17T00:00:00Z,2013-09-17T00:00:00Z
108,7610,2008-02-05T00:00:00Z,2010-07-29T00:00:00Z,Violent,Associate degree,2008-02-05T00:00:00Z,2010-07-29T00:00:00Z,2011-07-29T00:00:00Z,2012-07-29T00:00:00Z,2013-07-29T00:00:00Z
109,7610,2012-03-17T00:00:00Z,2013-07-07T00:00:00Z,Drug,Associate degree,2008-02-05T00:00:00Z,2010-07-29T00:00:00Z,2011-07-29T00:00:00Z,2012-07-29T00:00:00Z,2013-07-29T00:00:00Z
113,7830,2008-11-19T00:00:00Z,2010-10-09T00:00:00Z,Drug,High school degree,2008-11-19T00:00:00Z,2010-10-09T00:00:00Z,2011-10-09T00:00:00Z,2012-10-09T00:00:00Z,2013-10-09T00:00:00Z
117,8155,2009-08-10T00:00:00Z,2010-09-06T00:00:00Z,Drug,High school degree,2009-08-10T00:00:00Z,2010-09-06T00:00:00Z,2011-09-06T00:00:00Z,2012-09-06T00:00:00Z,2013-09-06T00:00:00Z
118,8155,2012-05-30T00:00:00Z,2013-02-21T00:00:00Z,Drug,High school degree,2009-08-10T00:00:00Z,2010-09-06T00:00:00Z,2011-09-06T00:00:00Z,2012-09-06T00:00:00Z,2013-09-06T00:00:00Z
122,8480,2008-04-29T00:00:00Z,2010-10-18T00:00:00Z,Violent,Less than high school,2008-04-29T00:00:00Z,2010-10-18T00:00:00Z,2011-10-18T00:00:00Z,2012-10-18T00:00:00Z,2013-10-18T00:00:00Z
123,8480,2012-03-02T00:00:00Z,2012-12-21T00:00:00Z,Property,Less than high school,2008-04-29T00:00:00Z,2010-10-18T00:00:00Z,2011-10-18T00:00:00Z,2012-10-18T00:00:00Z,2013-10-18T00:00:00Z
131,9025,2009-01-08T00:00:00Z,2010-11-20T00:00:00Z,Property,High school degree,2009-01-08T00:00:00Z,2010-11-20T00:00:00Z,2011-11-20T00:00:00Z,2012-11-20T00:00:00Z,2013-11-20T00:00:00Z
135,9350,2009-03-21T00:00:00Z,2010-07-15T00:00:00Z,Property,Some college,2009-03-21T00:00:00Z,2010-07-15T00:00:00Z,2011-07-15T00:00:00Z,2012-07-15T00:00:00Z,2013-07-15T00:00:00Z
142,9895,2010-03-22T00:00:00Z,2010-08-19T00:00:00Z,Drug,High school degree,2010-03-22T00:00:00Z,2010-08-19T00:00:00Z,2011-08-19T00:00:00Z,2012-08-19T00:00:00Z,2013-08-19T00:00:00Z
145,10220,2008-07-18T00:00:00Z,2010-12-22T00:00:00Z,Violent,Associate degree,2008-07-18T00:00:00Z,2010-12-22T00:00:00Z,2011-12-22T00:00:00Z,2012-12-22T00:00:00Z,2013-12-22T00:00:00Z
149,10545,2008-11-03T00:00:00Z,2010-10-24T00:00:00Z,Violent,High school degree,2008-11-03T00:00:00Z,2010-10-24T00:00:00Z,2011-10-24T00:00:00Z,2012-10-24T00:00:00Z,2013-10-24T00:00:00Z
150,10545,2013-05-27T00:00:00Z,2014-10-24T00:00:00Z,Drug,High school degree,2008-11-03T00:00:00Z,2010-10-24T00:00:00Z,2011-10-24T00:00:00Z,2012-10-24T00:00:00Z,2013-10-24T00:00:00Z
154,10765,2009-07-30T00:00:00Z,2010-10-10T00:00:00Z,Property,Associate degree,2009-07-30T00:00:00Z,2010-10-10T00:00:00Z,2011-10-10T00:00:00Z,2012-10-10T00:00:00Z,2013-10-10T00:00:00Z
157,11090,2007-12-26T00:00:00Z,2010-07-15T00:00:00Z,Violent,High school degree,2007-12-26T00:00:00Z,2010-07-15T00:00:00Z,2011-07-15T00:00:00Z,2012-07-15T00:00:00Z,2013-07-15T00:00:00Z
158,11090,2011-04-12T00:00:00Z,2013-01-30T00:00:00Z,Violent,High school degree,2007-12-26T00:00:00Z,2010-07-15T00:00:00Z,2011-07-15T00:00:00Z,2012-07-15T00:00:00Z,2013-07-15T00:00:00Z
161,11415,2008-09-22T00:00:00Z,2010-02-18T00:00:00Z,Drug,Associate degree,2008-09-22T00:00:00Z,2010-02-18T00:00:00Z,2011-02-18T00:00:00Z,2012-02-18T00:00:00Z,2013-02-18T00:00:00Z
168,11960,2007-04-15T00:00:00Z,2010-02-02T00:00:00Z,Drug,Less than high school,2007-04-15T00:00:00Z,2010-02-02T00:00:00Z,2011-02-02T00:00:00Z,2012-02-02T00:00:00Z,2013-02-02T00:00:00Z
169,11960,2011-09-30T00:00:00Z,2012-12-01T00:00:00Z,Violent,Less than high school,2007-04-15T00:00:00Z,2010-02-02T00:00:00Z,2011-02-02T00:00:00Z,2012-02-02T00:00:00Z,2013-02-02T00:00:00Z
173,12285,2008-01-23T00:00:00Z,2010-07-21T00:00:00Z,Public,Less than high school,2008-01-23T00:00:00Z,2010-07-21T00:00:00Z,2011-07-21T00:00:00Z,2012-07-21T00:00:00Z,2013-07-21T00:00:00Z
174,12285,2012-01-01T00:00:00Z,2014-01-01T00:00:00Z,Violent,Less than high school,2008-01-23T00:00:00Z,2010-07-21T00:00:00Z,2011-07-21T00:00:00Z,2012-07-21T00:00:00Z,2013-07-21T00:00:00Z
180,12830,2007-06-17T00:00:00Z,2010-03-27T00:00:00Z,Property,Bachelor's degree or higher',2007-06-17T00:00:00Z,2010-03-27T00:00:00Z,2011-03-27T00:00:00Z,2012-03-27T00:00:00Z,2013-03-27T00:00:00Z
181,12830,2011-11-01T00:00:00Z,2013-05-15T00:00:00Z,Property,Bachelor's degree or higher',2007-06-17T00:00:00Z,2010-03-27T00:00:00Z,2011-03-27T00:00:00Z,2012-03-27T00:00:00Z,2013-03-27T00:00:00Z
185,13155,2009-06-05T00:00:00Z,2010-12-14T00:00:00Z,Property,High school degree,2009-06-05T00:00:00Z,2010-12-14T00:00:00Z,2011-12-14T00:00:00Z,2012-12-14T00:00:00Z,2013-12-14T00:00:00Z
186,13155,2012-09-22T00:00:00Z,2013-05-08T00:00:00Z,Public,High school degree,2009-06-05T00:00:00Z,2010-12-14T00:00:00Z,2011-12-14T00:00:00Z,2012-12-14T00:00:00Z,2013-12-14T00:00:00Z
193,13700,2007-11-24T00:00:00Z,2010-05-31T00:00:00Z,Violent,High school degree,2007-11-24T00:00:00Z,2010-05-31T00:00:00Z,2011-05-31T00:00:00Z,2012-05-31T00:00:00Z,2013-05-31T00:00:00Z
196,14025,2008-06-07T00:00:00Z,2010-08-28T00:00:00Z,Violent,High school degree,2008-06-07T00:00:00Z,2010-08-28T00:00:00Z,2011-08-28T00:00:00Z,2012-08-28T00:00:00Z,2013-08-28T00:00:00Z
200,14350,2008-10-21T00:00:00Z,2010-02-06T00:00:00Z,Violent,High school degree,2008-10-21T00:00:00Z,2010-02-06T00:00:00Z,2011-02-06T00:00:00Z,2012-02-06T00:00:00Z,2013-02-06T00:00:00Z
204,14570,2007-10-15T00:00:00Z,2010-03-18T00:00:00Z,Drug,Bachelor's degree or higher',2007-10-15T00:00:00Z,2010-03-18T00:00:00Z,2011-03-18T00:00:00Z,2012-03-18T00:00:00Z,2013-03-18T00:00:00Z
208,14895,2009-10-15T00:00:00Z,2010-11-08T00:00:00Z,Drug,Some college,2009-10-15T00:00:00Z,2010-11-08T00:00:00Z,2011-11-08T00:00:00Z,2012-11-08T00:00:00Z,2013-11-08T00:00:00Z
212,15220,2009-04-18T00:00:00Z,2010-09-03T00:00:00Z,Violent,Associate degree,2009-04-18T00:00:00Z,2010-09-03T00:00:00Z,2011-09-03T00:00:00Z,2012-09-03T00:00:00Z,2013-09-03T00:00:00Z
213,15220,2012-01-28T00:00:00Z,2013-03-01T00:00:00Z,Drug,Associate degree,2009-04-18T00:00:00Z,2010-09-03T00:00:00Z,2011-09-03T00:00:00Z,2012-09-03T00:00:00Z,2013-09-03T00:00:00Z
221,15765,2009-11-08T00:00:00Z,2010-10-08T00:00:00Z,Public,Less than high school,2009-11-08T00:00:00Z,2010-10-08T00:00:00Z,2011-10-08T00:00:00Z,2012-10-08T00:00:00Z,2013-10-08T00:00:00Z
222,15765,2012-02-21T00:00:00Z,2012-11-06T00:00:00Z,Drug,Less than high school,2009-11-08T00:00:00Z,2010-10-08T00:00:00Z,2011-10-08T00:00:00Z,2012-10-08T00:00:00Z,2013-10-08T00:00:00Z
223,15765,2013-07-07T00:00:00Z,2014-07-18T00:00:00Z,Drug,Less than high school,2009-11-08T00:00:00Z,2010-10-08T00:00:00Z,2011-10-08T00:00:00Z,2012-10-08T00:00:00Z,2013-10-08T00:00:00Z
227,16090,2009-01-27T00:00:00Z,2010-03-24T00:00:00Z,Drug,High school degree,2009-01-27T00:00:00Z,2010-03-24T00:00:00Z,2011-03-24T00:00:00Z,2012-03-24T00:00:00Z,2013-03-24T00:00:00Z
234,16635,2010-02-19T00:00:00Z,2010-07-23T00:00:00Z,Drug,Less than high school,2010-02-19T00:00:00Z,2010-07-23T00:00:00Z,2011-07-23T00:00:00Z,2012-07-23T00:00:00Z,2013-07-23T00:00:00Z
237,16960,2009-08-21T00:00:00Z,2010-08-13T00:00:00Z,Property,Bachelor's degree or higher',2009-08-21T00:00:00Z,2010-08-13T00:00:00Z,2011-08-13T00:00:00Z,2012-08-13T00:00:00Z,2013-08-13T00:00:00Z
241,17285,2010-06-08T00:00:00Z,2010-11-19T00:00:00Z,Property,Associate degree,2010-06-08T00:00:00Z,2010-11-19T00:00:00Z,2011-11-19T00:00:00Z,2012-11-19T00:00:00Z,2013-11-19T00:00:00Z
245,17505,2008-07-14T00:00:00Z,2010-12-09T00:00:00Z,Drug,High school degree,2008-07-14T00:00:00Z,2010-12-09T00:00:00Z,2011-12-09T00:00:00Z,2012-12-09T00:00:00Z,2013-12-09T00:00:00Z
248,17830,2009-08-12T00:00:00Z,2010-12-01T00:00:00Z,Property,High school degree,2009-08-12T00:00:00Z,2010-12-01T00:00:00Z,2011-12-01T00:00:00Z,2012-12-01T00:00:00Z,2013-12-01T00:00:00Z
251,18155,2010-05-14T00:00:00Z,2010-12-17T00:00:00Z,Property,High school degree,2010-05-14T00:00:00Z,2010-12-17T00:00:00Z,2011-12-17T00:00:00Z,2012-12-17T00:00:00Z,2013-12-17T00:00:00Z
252,18155,2011-08-25T00:00:00Z,2012-12-14T00:00:00Z,Property,High school degree,2010-05-14T00:00:00Z,2010-12-17T00:00:00Z,2011-12-17T00:00:00Z,2012-12-17T00:00:00Z,2013-12-17T00:00:00Z
253,18155,2013-05-31T00:00:00Z,2014-03-20T00:00:00Z,Drug,High school degree,2010-05-14T00:00:00Z,2010-12-17T00:00:00Z,2011-12-17T00:00:00Z,2012-12-17T00:00:00Z,2013-12-17T00:00:00Z
260,18700,2010-08-21T00:00:00Z,2010-12-12T00:00:00Z,Public,High school degree,2010-08-21T00:00:00Z,2010-12-12T00:00:00Z,2011-12-12T00:00:00Z,2012-12-12T00:00:00Z,2013-12-12T00:00:00Z
261,18700,2012-08-15T00:00:00Z,2013-10-10T00:00:00Z,Property,High school degree,2010-08-21T00:00:00Z,2010-12-12T00:00:00Z,2011-12-12T00:00:00Z,2012-12-12T00:00:00Z,2013-12-12T00:00:00Z
265,19025,2008-11-28T00:00:00Z,2010-04-03T00:00:00Z,Violent,Less than high school,2008-11-28T00:00:00Z,2010-04-03T00:00:00Z,2011-04-03T00:00:00Z,2012-04-03T00:00:00Z,2013-04-03T00:00:00Z
266,19025,2013-12-09T00:00:00Z,2014-01-15T00:00:00Z,Public,Less than high school,2008-11-28T00:00:00Z,2010-04-03T00:00:00Z,2011-04-03T00:00:00Z,2012-04-03T00:00:00Z,2013-04-03T00:00:00Z
266,19025,2013-12-09T00:00:00Z,2014-01-15T00:00:00Z,Property,Less than high school,2008-11-28T00:00:00Z,2010-04-03T00:00:00Z,2011-04-03T00:00:00Z,2012-04-03T00:00:00Z,2013-04-03T00:00:00Z
272,19570,2009-02-11T00:00:00Z,2010-10-25T00:00:00Z,Drug,Associate degree,2009-02-11T00:00:00Z,2010-10-25T00:00:00Z,2011-10-25T00:00:00Z,2012-10-25T00:00:00Z,2013-10-25T00:00:00Z
276,19895,2007-04-24T00:00:00Z,2010-03-04T00:00:00Z,Violent,Bachelor's degree or higher',2007-04-24T00:00:00Z,2010-03-04T00:00:00Z,2011-03-04T00:00:00Z,2012-03-04T00:00:00Z,2013-03-04T00:00:00Z
283,20440,2008-10-09T00:00:00Z,2010-01-27T00:00:00Z,Violent,Less than high school,2008-10-09T00:00:00Z,2010-01-27T00:00:00Z,2011-01-27T00:00:00Z,2012-01-27T00:00:00Z,2013-01-27T00:00:00Z
287,20765,2007-09-09T00:00:00Z,2010-05-12T00:00:00Z,Violent,Less than high school,2007-09-09T00:00:00Z,2010-05-12T00:00:00Z,2011-05-12T00:00:00Z,2012-05-12T00:00:00Z,2013-05-12T00:00:00Z
288,20765,2011-10-17T00:00:00Z,2012-12-12T00:00:00Z,Property,Less than high school,2007-09-09T00:00:00Z,2010-05-12T00:00:00Z,2011-05-12T00:00:00Z,2012-05-12T00:00:00Z,2013-05-12T00:00:00Z
289,20765,2013-04-12T00:00:00Z,2014-01-27T00:00:00Z,Property,Less than high school,2007-09-09T00:00:00Z,2010-05-12T00:00:00Z,2011-05-12T00:00:00Z,2012-05-12T00:00:00Z,2013-05-12T00:00:00Z
290,20765,2014-04-01T00:00:00Z,2014-11-04T00:00:00Z,Property,Less than high school,2007-09-09T00:00:00Z,2010-05-12T00:00:00Z,2011-05-12T00:00:00Z,2012-05-12T00:00:00Z,2013-05-12T00:00:00Z
294,21090,2009-06-27T00:00:00Z,2010-05-25T00:00:00Z,Public,High school degree,2009-06-27T00:00:00Z,2010-05-25T00:00:00Z,2011-05-25T00:00:00Z,2012-05-25T00:00:00Z,2013-05-25T00:00:00Z
295,21090,2012-05-22T00:00:00Z,2013-10-09T00:00:00Z,Property,High school degree,2009-06-27T00:00:00Z,2010-05-25T00:00:00Z,2011-05-25T00:00:00Z,2012-05-25T00:00:00Z,2013-05-25T00:00:00Z
299,21310,2010-05-21T00:00:00Z,2010-12-01T00:00:00Z,Property,Less than high school,2010-05-21T00:00:00Z,2010-12-01T00:00:00Z,2011-12-01T00:00:00Z,2012-12-01T00:00:00Z,2013-12-01T00:00:00Z
303,21635,2009-08-18T00:00:00Z,2010-02-09T00:00:00Z,Property,High school degree,2009-08-18T00:00:00Z,2010-02-09T00:00:00Z,2011-02-09T00:00:00Z,2012-02-09T00:00:00Z,2013-02-09T00:00:00Z
304,21635,2010-09-20T00:00:00Z,2012-09-12T00:00:00Z,Public,High school degree,2009-08-18T00:00:00Z,2010-02-09T00:00:00Z,2011-02-09T00:00:00Z,2012-02-09T00:00:00Z,2013-02-09T00:00:00Z
305,21635,2013-08-04T00:00:00Z,2014-01-18T00:00:00Z,Property,High school degree,2009-08-18T00:00:00Z,2010-02-09T00:00:00Z,2011-02-09T00:00:00Z,2012-02-09T00:00:00Z,2013-02-09T00:00:00Z
309,21960,2008-11-09T00:00:00Z,2010-12-13T00:00:00Z,Drug,High school degree,2008-11-09T00:00:00Z,2010-12-13T00:00:00Z,2011-12-13T00:00:00Z,2012-12-13T00:00:00Z,2013-12-13T00:00:00Z
310,21960,2012-08-24T00:00:00Z,2013-03-31T00:00:00Z,Property,High school degree,2008-11-09T00:00:00Z,2010-12-13T00:00:00Z,2011-12-13T00:00:00Z,2012-12-13T00:00:00Z,2013-12-13T00:00:00Z
318,22505,2010-01-15T00:00:00Z,2010-07-18T00:00:00Z,Drug,High school degree,2010-01-15T00:00:00Z,2010-07-18T00:00:00Z,2011-07-18T00:00:00Z,2012-07-18T00:00:00Z,2013-07-18T00:00:00Z
322,22830,2009-06-12T00:00:00Z,2010-01-05T00:00:00Z,Property,High school degree,2009-06-12T00:00:00Z,2010-01-05T00:00:00Z,2011-01-05T00:00:00Z,2012-01-05T00:00:00Z,2013-01-05T00:00:00Z
323,22830,2011-03-12T00:00:00Z,2011-12-01T00:00:00Z,Drug,High school degree,2009-06-12T00:00:00Z,2010-01-05T00:00:00Z,2011-01-05T00:00:00Z,2012-01-05T00:00:00Z,2013-01-05T00:00:00Z
324,22830,2013-04-24T00:00:00Z,2013-11-09T00:00:00Z,Property,High school degree,2009-06-12T00:00:00Z,2010-01-05T00:00:00Z,2011-01-05T00:00:00Z,2012-01-05T00:00:00Z,2013-01-05T00:00:00Z
331,23375,2009-03-20T00:00:00Z,2010-12-21T00:00:00Z,Violent,Associate degree,2009-03-20T00:00:00Z,2010-12-21T00:00:00Z,2011-12-21T00:00:00Z,2012-12-21T00:00:00Z,2013-12-21T00:00:00Z
332,23375,2011-07-15T00:00:00Z,2012-10-07T00:00:00Z,Property,Associate degree,2009-03-20T00:00:00Z,2010-12-21T00:00:00Z,2011-12-21T00:00:00Z,2012-12-21T00:00:00Z,2013-12-21T00:00:00Z
335,23700,2010-05-21T00:00:00Z,2010-09-18T00:00:00Z,Property,Some college,2010-05-21T00:00:00Z,2010-09-18T00:00:00Z,2011-09-18T00:00:00Z,2012-09-18T00:00:00Z,2013-09-18T00:00:00Z
336,23700,2012-02-26T00:00:00Z,2013-08-05T00:00:00Z,Property,Some college,2010-05-21T00:00:00Z,2010-09-18T00:00:00Z,2011-09-18T00:00:00Z,2012-09-18T00:00:00Z,2013-09-18T00:00:00Z
340,24025,2007-11-23T00:00:00Z,2010-05-02T00:00:00Z,Drug,High school degree,2007-11-23T00:00:00Z,2010-05-02T00:00:00Z,2011-05-02T00:00:00Z,2012-05-02T00:00:00Z,2013-05-02T00:00:00Z
341,24025,2011-04-26T00:00:00Z,2012-11-19T00:00:00Z,Public,High school degree,2007-11-23T00:00:00Z,2010-05-02T00:00:00Z,2011-05-02T00:00:00Z,2012-05-02T00:00:00Z,2013-05-02T00:00:00Z
342,24025,2013-11-18T00:00:00Z,2014-01-23T00:00:00Z,Public,High school degree,2007-11-23T00:00:00Z,2010-05-02T00:00:00Z,2011-05-02T00:00:00Z,2012-05-02T00:00:00Z,2013-05-02T00:00:00Z
